brand,category,collected_at,error,excluded_reason,match_score,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,result_title,seed_product,seed_query,source,status,url,usable_for_baseline,volume_hint
닥터지,선케어,20260614T072530Z,,volume_mismatch,70,14230,1,ml,35.0,14230,[셀러허브] 닥터지 그린 마일드 업 선 플러스 35ml (S33147067),그린 마일드 업 선 플러스,닥터지 그린 마일드 업 선 플러스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9185077245&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&r=17814219406135&cate=1833257,False,50ml
닥터지,선케어,20260614T072530Z,,,90,26230,1,ml,50.0,26230,닥터지 그린 마일드 업 선 플러스 50ml+50ml 썬크림 민감성 자외선차단제 무기자차 선크림,그린 마일드 업 선 플러스,닥터지 그린 마일드 업 선 플러스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9149507288&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&r=17814219409868&cate=1833257,True,50ml
닥터지,선케어,20260614T072530Z,,,90,13938,4,ml,50.0,55750,닥터지 그린 마일드 업 선 플러스 50ml x4개 민감피부 무기자차선크림,그린 마일드 업 선 플러스,닥터지 그린 마일드 업 선 플러스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9161346364&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&r=17814219407203&cate=1833257,True,50ml
아비브,선케어,20260614T072530Z,,,80,15280,1,ml,50.0,15280,아비브 어성초 선 에센스 카밍 드롭 50ml,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/info/?pcode=117606866&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&cate=1833257,True,50ml
아비브,선케어,20260614T072530Z,,,70,17010,1,ml,50.0,17010,아비브 하트리프 선 에센스 카밍 드롭 50ml,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/info/?pcode=119589363&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&cate=18313894,True,50ml
아비브,선케어,20260614T072530Z,,category_term_missing,80,37600,1,ml,50.0,37600,코스맥스 아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228199&cate_c4=0&cmpny_c=EE309&link_prod_c=LO2510292713&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17814219416497&cate=18255393,False,50ml
아비브,선케어,20260614T072530Z,,category_term_missing,80,45470,1,ml,50.0,45470,아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2516227388&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17814219415355&cate=1833257,False,50ml
아비브,선케어,20260614T072530Z,,,80,22500,1,ml,50.0,22500,아비브 어성초 선 에센스 카밍 드롭 50ml SPF 50+ PA++++ 피부 자극 진정,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE715&link_prod_c=F506243898&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17814219417280&cate=1833257,True,50ml
아비브,선케어,20260614T072530Z,,category_term_missing,80,40220,1,ml,50.0,40220,아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228199&cate_c4=0&cmpny_c=EE715&link_prod_c=F263258974&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17814219417508&cate=18255393,False,50ml
아비브,선케어,20260614T072530Z,,category_term_missing,80,40230,1,ml,50.0,40230,아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228199&cate_c4=0&cmpny_c=EE128&link_prod_c=4460735725&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17814219418961&cate=18255393,False,50ml
아비브,선케어,20260614T072530Z,,,80,22500,1,ml,50.0,22500,아비브 어성초 선 에센스 카밍 드롭 50ml SPF 50+ PA++++ 피부 자극 진정,어성초 선 에센스,아비브 어성초 선 에센스,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE128&link_prod_c=4700193383&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17814219412703&cate=1833257,True,50ml
라로슈포제,선케어,20260614T072530Z,,volume_mismatch,50,29490,1,ml,30.0,29490,라로슈 포제 유비데아 안뗄리오스 멜트인 크림 30ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=43888979&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False,50ml
라로슈포제,선케어,20260614T072530Z,,,70,21470,1,ml,50.0,21470,라로슈 포제 안뗄리오스 울트라 라이트 선플루이드 50ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=11332185&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
