collected_at,excluded_reason,match_score,match_status,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,product_key,source,title,url,usable_for_baseline
2026-06-15T08:46:26Z,,90,candidate,15570,2,ml,50.0,31140,닥터지그린마일드업선플러스50ml,danawa,닥터지 그린 마일드 업 선 플러스 무기자차 선크림 50ml 2개,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9140197373&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&r=17815131925488&cate=1833257,True
2026-06-15T08:46:26Z,volume_mismatch,70,excluded,14230,1,ml,35.0,14230,닥터지그린마일드업선플러스50ml,danawa,[셀러허브] 닥터지 그린 마일드 업 선 플러스 35ml (S33147067),https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9185077245&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&r=17815131926672&cate=1833257,False
2026-06-15T08:46:26Z,,90,candidate,26828,4,ml,50.0,107310,닥터지그린마일드업선플러스50ml,danawa,닥터지 그린 마일드 업 선 플러스 50ml 4개,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=8615157324&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&r=17815131922920&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,15280,1,ml,50.0,15280,아비브어성초선에센스50ml,danawa,아비브 어성초 선 에센스 카밍 드롭 50ml,https://prod.danawa.com/info/?pcode=117606866&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&cate=1833257,True
2026-06-15T08:46:26Z,,70,candidate,17010,1,ml,50.0,17010,아비브어성초선에센스50ml,danawa,아비브 하트리프 선 에센스 카밍 드롭 50ml,https://prod.danawa.com/info/?pcode=119589363&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&cate=18313894,True
2026-06-15T08:46:26Z,category_term_missing,80,excluded,37600,1,ml,50.0,37600,아비브어성초선에센스50ml,danawa,코스맥스 아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228199&cate_c4=0&cmpny_c=EE309&link_prod_c=LO2510292713&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17815131938225&cate=18255393,False
2026-06-15T08:46:26Z,category_term_missing,80,excluded,45470,1,ml,50.0,45470,아비브어성초선에센스50ml,danawa,아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2516227388&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17815131932855&cate=1833257,False
2026-06-15T08:46:26Z,,80,candidate,22500,1,ml,50.0,22500,아비브어성초선에센스50ml,danawa,아비브 어성초 선 에센스 카밍 드롭 50ml SPF 50+ PA++++ 피부 자극 진정,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE715&link_prod_c=F506243898&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17815131936888&cate=1833257,True
2026-06-15T08:46:26Z,category_term_missing,80,excluded,40220,1,ml,50.0,40220,아비브어성초선에센스50ml,danawa,아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228199&cate_c4=0&cmpny_c=EE715&link_prod_c=F263258974&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17815131934733&cate=18255393,False
2026-06-15T08:46:26Z,category_term_missing,80,excluded,40230,1,ml,50.0,40230,아비브어성초선에센스50ml,danawa,아비브 어성초 선 썬 크림 에센스 세럼 추천 50ml,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228199&cate_c4=0&cmpny_c=EE128&link_prod_c=4460735725&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17815131938007&cate=18255393,False
